lane_id,length
-201201945#2_0,108.69
-201201945#2_1,108.69
-201201945#6_0,183.2
-201201945#6_1,183.2
-201201945#7_0,21.91
-201201945#7_1,21.91
-201201945#8_0,100.87
-201201945#8_1,100.87
-201238718#0_0,191.4
-201238718#0_1,191.4
-201238718#1_0,43.93
-201238718#1_1,43.93
-201238724_0,217.34
-201238724_1,217.34
-201238726#0_0,94.56
-201238726#0_1,94.56
-201238726#0.98_0,20.12
-201238726#0.98_1,20.12
-201238726#0.98_2,20.12
-201238726#1_0,0.22
-201238726#1_1,0.22
-201950247#0_0,38.21
-201950247#0_1,38.21
-201950247#3_0,33.21
-201950247#3_1,33.21
-201950247#4_0,35.3
-201950247#4_1,35.3
-201950247#5_0,41.32
-201950247#5_1,41.32
-201950247#6_0,20.22
-201950247#6_1,20.22
-201950247#7_0,64.01
-201950247#7_1,64.01
-201950247#8_0,102.07
-201950247#8_1,102.07
-201950250#0_0,20.39
-201950250#0_1,20.39
-201950250#1_0,69.03
-201950250#1_1,69.03
-201950250#2_0,70.98
-201950250#2_1,70.98
-201950259#3_0,142.96
-201950259#3_1,142.96
-201950259#6_0,112.93
-201950259#6_1,112.93
-201950263#10_0,271.66
-201950263#10_1,271.66
-201950263#6_0,308.67
-201950263#6_1,308.67
-201963522#0_0,28.54
-201963522#0_1,28.54
-201963522#1_0,47.18
-201963522#1_1,47.18
-201963522#2_0,46.27
-201963522#2_1,46.27
-201963522#3_0,45.91
-201963522#3_1,45.91
-201963522#4_0,37.0
-201963522#4_1,37.0
-201963522#5_0,21.78
-201963522#5_1,21.78
-201963522#9_0,94.22
-201963522#9_1,94.22
-201963533#0_0,4.34
-201963533#0_1,4.34
-201963533#0_2,4.34
-201963533#0_3,4.34
-201963533#1_0,115.42
-201963533#1_1,115.42
-201963533#1.120_0,17.06
-201963533#1.120_1,17.06
-201963533#1.120_2,17.06
-201963533#1.145_0,104.53
-201963533#1.145_1,104.53
-201963533#1.145_2,104.53
-201963533#1.145_3,104.53
-201963533#4_0,45.42
-201963533#4_1,45.42
-201963533#4_2,45.42
-201963533#5_0,66.44
-201963533#5_1,66.44
-202092675.36_0,0.2
-202092675.36_1,0.2
-202092675.36_2,0.2
-218647947#1_0,275.23
-218647954_0,72.82
-218647954_1,72.82
-224251774#0_0,50.03
-224251774#0_1,50.03
-224251774#0_2,50.03
-224251774#1_0,132.25
-224251774#1_1,132.25
-224251776#1_0,17.06
-224251776#1_1,17.06
-224892339#3_0,140.4
-224892339#3_1,140.4
-224892361#1_0,42.65
-224892361#1_1,42.65
-224892361#1_2,42.65
-224892361#2_0,51.71
-224892361#2_1,51.71
-224892361#6_0,227.07
-224892361#6_1,227.07
-224892361#8_0,126.13
-224892361#8_1,126.13
-22690205#1_0,106.63
-22690205#1_1,106.63
-22690205#2_0,27.67
-22690205#2_1,27.67
-22690205#3_0,135.59
-22690205#3_1,135.59
-22690206#0_0,64.12
-22690206#0_1,64.12
-22690206#1_0,140.03
-22690206#1_1,140.03
-22690206#2_0,14.68
-22690206#2_1,14.68
-22716069#0_0,77.13
-22716069#0_1,77.13
-22716069#1_0,75.91
-22716069#1_1,75.91
-22716069#2_0,104.29
-22716069#2_1,104.29
-22716072#3_0,336.31
-22716072#3_1,336.31
-22716072#5_0,51.32
-22716072#5_1,51.32
-22716073_0,73.29
-22716073_1,73.29
-22716549#6_0,266.42
-22716549#6_1,266.42
-22724699#1_0,53.01
-22724699#1_1,53.01
-22724699#11_0,101.56
-22724699#11_1,101.56
-22724699#2_0,90.55
-22724699#2_1,90.55
-22724699#6_0,135.14
-22724699#6_1,135.14
-22879845_0,140.56
-22879845_1,140.56
-233675413#0_0,39.88
-233675413#0_1,39.88
-233675413#0_2,39.88
-233675413#1_0,159.85
-233675413#1_1,159.85
-233675413#2_0,63.61
-233675413#2_1,63.61
-233675413#2_2,63.61
-233675413#3_0,5.7
-233675413#3_1,5.7
-233675413#6_0,49.17
-233675413#6_1,49.17
-233675413#8_0,86.96
-233675413#8_1,86.96
-23436553#1_0,85.73
-23436553#1_1,85.73
-23436553#2_0,207.99
-23436553#2_1,207.99
-23436553#3_0,12.09
-23436553#3_1,12.09
-23436553#4_0,80.08
-23436553#4_1,80.08
-23525483#0_0,65.87
-23525483#0_1,65.87
-23525483#5_0,244.11
-23525483#5_1,244.11
-23525483#6_0,104.84
-23525483#6_1,104.84
-23525483#7_0,20.77
-23525483#7_1,20.77
-24608844_0,167.5
-24608844_1,167.5
-24608845_0,71.09
-24608845_1,71.09
-24608846#0_0,139.64
-24608846#0_1,139.64
-24608846#1_0,60.2
-24608846#1_1,60.2
-24634411_0,245.98
-24634411_1,245.98
-24634413#0_0,210.65
-24634413#0_1,210.65
-24634413#1_0,42.87
-24634413#1_1,42.87
-24634413#2_0,146.01
-24634413#2_1,146.01
-24634414#0_0,12.1
-24634414#0_1,12.1
-24634414#1_0,160.87
-24634414#1_1,160.87
-24634414#2_0,105.44
-24634414#2_1,105.44
-24634414#3_0,50.72
-24634414#3_1,50.72
-24634414#4_0,20.88
-24634414#4_1,20.88
-24634414#5_0,44.82
-24634414#5_1,44.82
-24634415_0,62.03
-24634415_1,62.03
-24634417_0,136.68
-24634417_1,136.68
-24634505_0,48.18
-24634505_1,48.18
-24634506#0_0,92.45
-24634506#0_1,92.45
-24634506#1_0,14.35
-24634506#1_1,14.35
-24634506#2_0,71.32
-24634506#2_1,71.32
-24634507_0,199.62
-24634507_1,199.62
-24634508_0,162.15
-24634508_1,162.15
-24634509#0_0,48.27
-24634509#0_1,48.27
-24634509#7_0,231.28
-24634509#7_1,231.28
-24634510#0_0,168.69
-24634510#0_1,168.69
-24634510#15_0,274.61
-24634510#15_1,274.61
-24634510#18_0,64.28
-24634510#18_1,64.28
-24634510#5_0,236.88
-24634510#5_1,236.88
-24634510#6_0,76.24
-24634510#6_1,76.24
-24634510#8_0,79.27
-24634510#8_1,79.27
-24634511_0,133.37
-24634511_1,133.37
-24634513#5_0,239.72
-24634513#6_0,0.2
-24634514#1_0,147.83
-24634514#1_1,147.83
-24634516#0_0,0.2
-24634516#0_1,0.2
-24634516#1_0,102.75
-24634516#1_1,102.75
-24634516#2_0,82.9
-24634516#2_1,82.9
-24634517#12_0,73.65
-24634517#12_1,73.65
-24634517#16_0,113.85
-24634517#16_1,113.85
-24634517#17_0,6.43
-24634517#17_1,6.43
-24634517#18_0,9.28
-24634517#18_1,9.28
-24634517#19_0,12.74
-24634517#19_1,12.74
-24634517#3_0,124.17
-24634517#3_1,124.17
-24634517#5_0,37.88
-24634517#5_1,37.88
-24634517#7_0,68.08
-24634517#7_1,68.08
-24634517#8_0,18.25
-24634517#8_1,18.25
-24634518#0_0,33.77
-24634518#0_1,33.77
-24634518#1_0,7.06
-24634518#1_1,7.06
-24634518#2_0,11.94
-24634518#2_1,11.94
-24634519_0,47.92
-24634519_1,47.92
-24634521#0_0,26.7
-24634521#0_1,26.7
-24634521#1_0,112.94
-24634521#1_1,112.94
-24634521#2_0,26.92
-24634521#2_1,26.92
-24693977#0_0,8.35
-24693977#0_1,8.35
-24693977#0_2,8.35
-24693977#0_3,8.35
-24693977#1_0,91.02
-24693977#1_1,91.02
-24693977#1_2,91.02
-24693977#1_3,91.02
-25117391#1_0,113.3
-25117391#1_1,113.3
-25117391#2_0,103.83
-25117391#2_1,103.83
-25117417#0_0,0.2
-25117417#1_0,67.58
-25117417#1_1,67.58
-25122731#1_0,23.38
-25122731#1_1,23.38
-25136986_0,85.42
-25136986_1,85.42
-25145011#0_0,103.63
-25145011#0_1,103.63
-25145011#2_0,155.93
-25145011#2_1,155.93
-25145012#0_0,52.33
-25145012#0_1,52.33
-25145012#1_0,125.38
-25145012#1_1,125.38
-25145012#2_0,42.3
-25145012#2_1,42.3
-25145012#3_0,62.61
-25145012#3_1,62.61
-25145012#4_0,65.72
-25145012#4_1,65.72
-25145012#5_0,77.15
-25145012#5_1,77.15
-25145012#6_0,75.23
-25145012#6_1,75.23
-25145013#0_0,86.26
-25145013#0_1,86.26
-25145013#1_0,117.36
-25145013#1_1,117.36
-25145014#0_0,123.06
-25145014#0_1,123.06
-25145014#1_0,86.36
-25145014#1_1,86.36
-25145014#2_0,149.42
-25145014#2_1,149.42
-25145014#3_0,65.24
-25145014#3_1,65.24
-25145014#4_0,62.03
-25145014#4_1,62.03
-25149001#4_0,105.67
-25149001#4_1,105.67
-25149001#5_0,22.76
-25149001#5_1,22.76
-25187889_0,70.5
-25187889_1,70.5
-25187891_0,76.19
-25187891_1,76.19
-25187892_0,112.69
-25187892_1,112.69
-25187893_0,90.89
-25187893_1,90.89
-25187895#0_0,44.53
-25187895#0_1,44.53
-25187895#1_0,65.19
-25187895#1_1,65.19
-25187896_0,189.81
-25187896_1,189.81
-25190140#1_0,231.39
-25190140#1_1,231.39
-25190140#2_0,8.66
-25190140#2_1,8.66
-25209894#0_0,64.93
-25209894#0_1,64.93
-25209894#1_0,46.02
-25209894#1_1,46.02
-26642362#0_0,62.08
-26642362#0_1,62.08
-26642362#1_0,107.92
-26642362#1_1,107.92
-26642362#2_0,42.86
-26642362#2_1,42.86
-26642362#3_0,14.12
-26642362#3_1,14.12
-26642362#5_0,8.59
-26642362#5_1,8.59
-26642363_0,35.89
-26642363_1,35.89
-266565295#5_0,172.76
-266565295#5_1,172.76
-266565295#5_2,172.76
-26676668_0,98.49
-26676668_1,98.49
-26677213#5_0,208.44
-26677213#5_1,208.44
-26677214#2_0,109.64
-26677214#2_1,109.64
-26677214#3_0,51.63
-26677214#3_1,51.63
-26677214#4_0,58.16
-26677214#4_1,58.16
-26677214#5_0,57.08
-26677214#5_1,57.08
-26677216#0_0,208.03
-26677216#0_1,208.03
-26677216#1_0,48.11
-26677216#1_1,48.11
-26677216#2_0,32.8
-26677216#2_1,32.8
-26677216#4_0,163.87
-26677216#4_1,163.87
-26677416#0_0,7.6
-26677416#0_1,7.6
-26677416#1_0,88.34
-26677416#1_1,88.34
-26677416#3_0,89.72
-26677416#3_1,89.72
-26677416#7_0,95.42
-26677416#7_1,95.42
-26677417#0_0,95.44
-26677417#0_1,95.44
-26677417#1_0,27.39
-26677417#1_1,27.39
-26677539_0,152.75
-26677539_1,152.75
-26677540#0_0,35.41
-26677540#0_1,35.41
-26677540#1_0,30.96
-26677540#1_1,30.96
-26677540#2_0,33.91
-26677540#2_1,33.91
-26677541_0,174.78
-26677541_1,174.78
-26677542#0_0,150.91
-26677542#0_1,150.91
-26677542#1_0,76.52
-26677542#1_1,76.52
-26678225_0,70.63
-26678225_1,70.63
-28111977#0_0,71.58
-28111977#0_1,71.58
-28111977#1_0,49.67
-28111977#1_1,49.67
-28111977#10_0,38.14
-28111977#10_1,38.14
-28111977#2_0,108.84
-28111977#2_1,108.84
-28111977#3_0,0.2
-28111977#3_1,0.2
-28111977#4_0,50.54
-28111977#4_1,50.54
-28111977#5_0,60.89
-28111977#5_1,60.89
-28111977#6_0,65.89
-28111977#6_1,65.89
-28111977#7_0,85.18
-28111977#7_1,85.18
-28111977#8_0,102.28
-28111977#8_1,102.28
-28111977#9_0,72.81
-28111977#9_1,72.81
-28319300#2_0,297.8
-28319300#2_1,297.8
-285549250#1_0,106.27
-285549250#1_1,106.27
-286646456#0_0,32.87
-286646456#0_1,32.87
-286646456#2_0,78.24
-286646456#2_1,78.24
-286646456#2_2,78.24
-30482614_0,11.26
-30482614_1,11.26
-30482615#4_0,423.72
-306240162#1_0,220.5
-306240162#1_1,220.5
-31395281_0,44.33
-31395281_1,44.33
-315358242#0_0,166.21
-315358242#0_1,166.21
-315358242#0_2,166.21
-315358242#1_0,93.35
-315358242#1_1,93.35
-315358242#1_2,93.35
-315358242#2_0,28.88
-315358242#2_1,28.88
-315358242#2_2,28.88
-315358244_0,33.95
-315358244_1,33.95
-315358244_2,33.95
-315358245_0,87.56
-315358245_1,87.56
-315358246_0,99.5
-315358246_1,99.5
-315358246_2,99.5
-315358248#1_0,78.45
-315358248#1_1,78.45
-315358248#1_2,78.45
-315358250#0_0,12.63
-315358250#0_1,12.63
-315358250#0_2,12.63
-315358250#1_0,4.74
-315358250#1_1,4.74
-315358250#1_2,4.74
-315358251#0_0,127.97
-315358251#0_1,127.97
-315358251#0_2,127.97
-315358251#1_0,0.2
-315358251#1_1,0.2
-315358251#1_2,0.2
-315358252#1_0,123.59
-315358252#1_1,123.59
-315358252#1_2,123.59
-315358253#0_0,25.93
-315358253#0_1,25.93
-315358253#1_0,57.66
-315358253#1_1,57.66
-315358253#2_0,25.38
-315358253#2_1,25.38
-315358254#1_0,137.16
-315358254#1_1,137.16
-315358255#4_0,195.12
-315358255#4_1,195.12
-315358257#0.26_0,32.68
-315358257#0.26_1,32.68
-315358257#0.26_2,32.68
-315358257#2_0,51.0
-315358257#2_1,51.0
-315358258_0,214.94
-315358258_1,214.94
-315392062#4_0,250.8
-315392062#4_1,250.8
-31860333#0_0,96.95
-31860333#0_1,96.95
-31860333#1_0,212.17
-31860333#1_1,212.17
-31860333#2_0,13.24
-31860333#2_1,13.24
-31860333#3_0,44.03
-31860333#3_1,44.03
-31860333#4_0,84.22
-31860333#4_1,84.22
-32124743_0,14.74
-32124743_1,14.74
-32124743_2,14.74
-32124744_0,37.86
-32124744_1,37.86
-32124744_2,37.86
-32124745_0,103.49
-32124745_1,103.49
-32124745_2,103.49
-32395288#1_0,21.79
-32395288#2_0,15.68
-32395288#3_0,13.64
-32395327#1_0,121.74
-32395352#1_0,74.68
-32395361#1_0,51.21
-32395414#0_0,179.2
-32395414#0_1,179.2
-32395414#1_0,48.2
-32395414#1_1,48.2
-32395464_0,107.1
-32395464_1,107.1
-32978638#0_0,49.29
-32978638#0_1,49.29
-32999434#1_0,110.11
-32999434#1_1,110.11
-32999434#1_2,110.11
-36962701#0_0,51.14
-36962701#0_1,51.14
-36962701#1_0,14.18
-36962701#1_1,14.18
-37386279_0,89.29
-37386279_1,89.29
-37681424#0_0,200.01
-37681424#0_1,200.01
-37681424#1_0,174.33
-37681424#1_1,174.33
-37681425#4_0,95.46
-37681425#4_1,95.46
-37681425#6_0,48.04
-37681425#6_1,48.04
-37681425#7_0,37.05
-37681425#7_1,37.05
-379510292_0,85.64
-379510292_1,85.64
-379897806_0,20.4
-379897806_1,20.4
-379897806_2,20.4
-393420106#1_0,558.51
-393420106#1_1,558.51
-399835085#0_0,35.3
-399835085#0_1,35.3
-40888350_0,118.06
-40888350_1,118.06
-40888351#0_0,116.98
-40888351#0_1,116.98
-40888351#2_0,45.34
-40888351#2_1,45.34
-40888351#6_0,38.64
-40888351#6_1,38.64
-40888354#0_0,69.71
-40888354#0_1,69.71
-40888354#1_0,53.16
-40888354#1_1,53.16
-40888354#2_0,59.15
-40888354#2_1,59.15
-40888356#6_0,103.49
-40888356#6_1,103.49
-40888359_0,201.58
-40888359_1,201.58
-40888443_0,91.57
-40888443_1,91.57
-41203916#3_0,104.46
-41203916#3_1,104.46
-41203918#1_0,76.5
-41203918#1_1,76.5
-447569997#0_0,1.82
-447569997#0_1,1.82
-447569997#0_2,1.82
-447569998#1_0,180.76
-447569998#1_1,180.76
-447569998#1_2,180.76
-4942389#0_0,0.2
-4942389#0_1,0.2
-4942389#0_2,0.2
-4942389#0_3,0.2
-4942389#1_0,3.42
-4942389#1_1,3.42
-4942389#1_2,3.42
-4942389#1_3,3.42
-53396619#1_0,18.23
-53396619#1_1,18.23
-53396619#2_0,33.53
-53396619#2_1,33.53
-53396619#3_0,42.32
-53396619#3_1,42.32
-53396619#4_0,51.51
-53396619#4_1,51.51
-53396619#5_0,0.2
-53396619#5_1,0.2
-53396619#6_0,91.79
-53396619#6_1,91.79
-54169231#0_0,115.45
-54169231#0_1,115.45
-54169231#1_0,53.22
-54169231#1_1,53.22
-54169231#2_0,64.72
-54169231#2_1,64.72
-612075153#0_0,23.46
-612075153#0_1,23.46
-612075153#1_0,8.53
-612075153#1_1,8.53
-653473568#0_0,12.12
-653473568#0_1,12.12
-653473568#1_0,31.44
-653473568#1_1,31.44
-653473569#0_0,11.25
-653473569#0_1,11.25
-653473569#1_0,157.27
-653473569#1_1,157.27
-653473569#2_0,59.72
-653473569#2_1,59.72
-653473569#4_0,77.21
-653473569#4_1,77.21
-653473569#5_0,64.85
-653473569#5_1,64.85
-83304175#2_0,189.34
-83304175#2_1,189.34
-93386922_0,59.24
104010354_0,49.75
104010354_1,49.75
104010354_2,49.75
104010439#1_0,7.16
104010439#1_1,7.16
104010439#1_2,7.16
104010460#1_0,10.74
104010460#1_1,10.74
104010460#1_2,10.74
104010475#0_0,22.04
104010475#0_1,22.04
104010475#0_2,22.04
104012170_0,44.56
104012170_1,44.56
104012170_2,44.56
104012170_3,44.56
104012170_4,44.56
10425609#0_0,43.58
10425609#0_1,43.58
10425609#0_2,43.58
10425609#0_3,43.58
10425609#1_0,0.92
10425609#1_1,0.92
10425609#1_2,0.92
10425609#1_3,0.92
10427692#0_0,42.93
10427692#0_1,42.93
10427692#2_0,23.35
10427692#2_1,23.35
10427692#3_0,27.64
10427692#3_1,27.64
10427692#4_0,25.47
10427692#4_1,25.47
10427692#5_0,63.44
10427692#5_1,63.44
10427692#6_0,36.03
10427692#6_1,36.03
10427692#7_0,45.52
10427692#7_1,45.52
10427692#7.50_0,7.74
10427692#7.50_1,7.74
10427692#7.50_2,7.74
10427692#8_0,0.2
10427692#8_1,0.2
118362731_0,1.19
118362731_1,1.19
120125554_0,36.41
120125554_1,36.41
124812856#0_0,39.58
124812856#0_1,39.58
124812856#0_2,39.58
124812856#1_0,0.76
124812856#1_1,0.76
124812856#1_2,0.76
124812856#1_3,0.76
124812857#0_0,143.49
124812857#0_1,143.49
124812857#0_2,143.49
124812857#0_3,143.49
128361102#0_0,274.72
128361102#0_1,274.72
128361109#1_0,379.09
128361109#1_1,379.09
128361109#1_2,379.09
128361109#3_0,54.72
128361109#3_1,54.72
128361109#3_2,54.72
128361109#3_3,54.72
128361109#3_4,54.72
128361109#4_0,0.2
128361109#4_1,0.2
128361109#4_2,0.2
128361109#4_3,0.2
128361109#4_4,0.2
128906555_0,266.56
128906555_1,266.56
128906569#10_0,0.2
129379918#0_0,16.16
129379918#0_1,16.16
129379918#0_2,16.16
129379920#0_0,3.17
129379920#0_1,3.17
129379920#0_2,3.17
129379920#1_0,16.13
129379920#1_1,16.13
129379920#1_2,16.13
129379921#0_0,18.15
129379921#0_1,18.15
129379921#0_2,18.15
129379921#1_0,79.46
129379921#1_1,79.46
129379921#1_2,79.46
129379922_0,37.43
129379922_1,37.43
129379922_2,37.43
129379922_3,37.43
129379925_0,41.63
129379925_1,41.63
129379925_2,41.63
129379967#0_0,28.94
129379967#0_1,28.94
129379967#0_2,28.94
129379968_0,28.34
129379968_1,28.34
136436466_0,15.35
136436466_1,15.35
136436466_2,15.35
136436466_3,15.35
136436468#0_0,102.65
136436468#0_1,102.65
136436468#1_0,49.01
136436468#1_1,49.01
137132992#0_0,63.46
137132992#0_1,63.46
137132993#0_0,6.59
137132993#0_1,6.59
137132994#0_0,0.2
137132994#0_1,0.2
137132994#1_0,6.92
137132994#1_1,6.92
137132994#2_0,0.3
137132994#2_1,0.3
137132996_0,3.12
137132996_1,3.12
137132997_0,0.2
137132997_1,0.2
137132998_0,1.14
137132998_1,1.14
137133006#0_0,103.34
137133006#0_1,103.34
137133006#0_2,103.34
137133006#0_3,103.34
137133006#0_4,103.34
137133006#1_0,4.47
137133006#1_1,4.47
137133006#1_2,4.47
137133006#1_3,4.47
137454133#0_0,0.2
137454133#0_1,0.2
137454133#1_0,19.95
137454133#1_1,19.95
137454133#2_0,194.52
137454133#2_1,194.52
137685155#0_0,17.98
137685155#0_1,17.98
138300620#0_0,134.8
138300620#0_1,134.8
160314345#0_0,38.56
160314345#0_1,38.56
160314345#1_0,72.93
160314345#1_1,72.93
160314345#2_0,80.82
160314345#2_1,80.82
160314345#3_0,68.53
160314345#3_1,68.53
160314345#4_0,74.56
160314345#4_1,74.56
160314345#5_0,79.96
160314345#5_1,79.96
160314346#0_0,53.51
160314346#0_1,53.51
160314346#1_0,39.42
160314346#1_1,39.42
160314351#0_0,37.6
160314351#0_1,37.6
160314351#1_0,2.58
160314351#1_1,2.58
164051413_0,8.93
164051413_1,8.93
164051413_2,8.93
164078530_0,0.2
164078530_1,0.2
164078530_2,0.2
168702039#1_0,122.44
168702039#1_1,122.44
168702039#1_2,122.44
168702040#1_0,0.2
168702040#1_1,0.2
168702040#1_2,0.2
168702040#2_0,63.06
168702040#2_1,63.06
168702040#2_2,63.06
168702040#2_3,63.06
168702040#3_0,64.56
168702040#3_1,64.56
168702040#3_2,64.56
168702040#3_3,64.56
168702040#4_0,5.35
168702040#4_1,5.35
168702040#4_2,5.35
168702040#4_3,5.35
170018165#0_0,9.75
170018165#0_1,9.75
170018165#0_2,9.75
170018165#1_0,7.11
170018165#1_1,7.11
170018165#2_0,171.69
170018165#2_1,171.69
170018165#2.175_0,116.77
170018165#2.175_1,116.77
170018165#2.175_2,116.77
170425366#0_0,296.47
170425366#0_1,296.47
172488482#0_0,18.06
172488482#0_1,18.06
172488483#0_0,23.53
172488483#0_1,23.53
172493341#1_0,0.2
173177776#0_0,48.65
173203413#0_0,183.34
173203413#0_1,183.34
174800513_0,12.1
174800513_1,12.1
174800513_2,12.1
175770996#0_0,17.04
176550246_0,6.47
176550246_1,6.47
176550246_2,6.47
176550246_3,6.47
176550246_4,6.47
176550249#0_0,135.35
176550249#0_1,135.35
176550249#0_2,135.35
176550249#1_0,190.05
176550249#1_1,190.05
176550249#1_2,190.05
176550249#2_0,127.89
176550249#2_1,127.89
176550249#2_2,127.89
176550249#3_0,201.87
176550249#3_1,201.87
176550249#3_2,201.87
176550249#4_0,271.0
176550249#4_1,271.0
176550249#4_2,271.0
186865419#1_0,0.2
18809672#0_0,11.58
18809672#0_1,11.58
18809672#2_0,76.22
18809672#2_1,76.22
18809672#5_0,1.09
18809672#5_1,1.09
18809672#6_0,46.16
18809672#6_1,46.16
18809672#7_0,40.9
18809672#7_1,40.9
18809673#0_0,473.56
18809673#0_1,473.56
18813598#0_0,56.99
18813598#0_1,56.99
18813598#2_0,222.85
18813598#2_1,222.85
18813598#7_0,293.23
18813598#7_1,293.23
18813598#8_0,125.87
18813598#8_1,125.87
201089420#0_0,67.82
201089420#0_1,67.82
201089423#0_0,60.19
201089423#0_1,60.19
201089423#0_2,60.19
201089423#2_0,46.44
201089423#2_1,46.44
201089423#2_2,46.44
201143839_0,0.2
201143839_1,0.2
201143840_0,4.25
201143840_1,4.25
201201935#0_0,558.51
201201935#0_1,558.51
201201945#0_0,133.33
201201945#0_1,133.33
201201945#1_0,11.37
201201945#1_1,11.37
201201945#2_0,109.43
201201945#2_1,109.43
201201945#3_0,182.73
201201945#3_1,182.73
201201945#7_0,21.91
201201945#7_1,21.91
201201945#8_0,100.95
201201945#8_1,100.95
201201950#0_0,67.71
201201950#0_1,67.71
201201950#0_2,67.71
201201950#1_0,94.26
201201950#1_1,94.26
201201950#1_2,94.26
201201950#2_0,11.7
201201950#2_1,11.7
201201950#2_2,11.7
201201950#3_0,114.32
201201950#3_1,114.32
201201950#3_2,114.32
201201950#4_0,47.66
201201950#4_1,47.66
201201950#4_2,47.66
201201953#0_0,83.65
201201953#0_1,83.65
201201953#0_2,83.65
201201953#10_0,276.64
201201953#10_1,276.64
201201953#10_2,276.64
201201953#12_0,43.35
201201953#12_1,43.35
201201953#12_2,43.35
201201953#12_3,43.35
201201953#12_4,43.35
201201953#2_0,171.91
201201953#2_1,171.91
201201953#2_2,171.91
201201953#4_0,328.01
201201953#4_1,328.01
201201953#4_2,328.01
